Andrzej Zulawski;" ubuuawski (polish: [ucanduubj uuucwafskubi];  november  u  february ) was a polish film director and writer. he was born in lwufw, poland (now ukraine). ubuuawski often went against mainstream commercialism in his films, and enjoyed success mostly with european art-house audiences.nin the late s, he studied cinema in france. his second feature the devil () was banned in poland, and ubuuawski went to france. after the success of that most important thing: love in , he returned to poland where he spent two years making on the silver globe (). the work on this film was interrupted by the polish authorities. after that, ubuuawski moved to france where he became known for controversial and violent art-house films. ubuuawski is also known for his work with actresses including romy schneider, isabelle adjani and sophie marceau.nhis films have received awards at various international film festivals. ubuuawski had also written several novels, for example: il uetait un verger, lity bufr (a.k.a. la forueat forteresse), w oczach tygrysa, and ogrufd miuoubci."
Ang Lee;"  obs (chinese: ueub; pinyin: lud un; born october , ) is a taiwanese film director, screenwriter and producer.n's earlier films, such as the wedding banquet, pushing hands, and eat drink man woman explored the relationships and conflicts between tradition and modernity, eastern and western.  also deals with repressed, hidden emotions in many of his films, including crouching tiger, hidden dragon, the ice storm, hulk, and brokeback mountain. 's work is known for its emotional charge, which critics believe is responsible for his success in offsetting cultural barriers and achieving international recognition."
Ann Hui;"  on-wah, mbe (traditional chinese: uauduef; simplified chinese: ubbudue; pinyin: xud unhuue; hepburn: kyo anka; born  may ) is a hong kong film director, producer, screenwriter and actress. she is one of the most critically acclaimed hong kong new wave filmmakers. she is known for her films about social issues in hong kong.n has won numerous awards for her films, including, best director and best picture at the hong kong film awards, and best film at the asia pacific film festival. she was honored for her lifetime accomplishments at the  asian film awards."
Anselmo Duarte;"  (portuguese pronunciation: [uuucsubwmu duucautui]; april ,  u november , ) was a brazilian actor, screenwriter and film director. his film o pagador de promessas () won the golden palm at the  cannes film festival, becoming the first (and to date only) brazilian film to be so distinguished. the film was also nominated for the academy award for best foreign language film. in  ""o pagador de promessas"" was also awarded best film and best musical score at the san francisco international film festival and best film at the acapulco (mexico), cartagena (colombia) karlovwary (poland) and edinburgh (scotland) international film festivals. his  film the obsessed of catule was entered into the th berlin international film festival. he also was a freemason.nthe president of brazil, luis inacio lula da silva, awarded  the order of the cultural merit, brazil's highest cultural civilian honor, and the governor of sueo paulo, josue serra, awarded  the order of ipiranga, which is the stateus highest civilian honor.  was awarded titles of merit citizenship by numerous brazilian municipalities including rio de janeiro, sueo paulo and salto, his birthplace. in , the municipality of salto inaugurated a multimillion-dollar cultural and educational centre named ""centro cultural e educacional  "", housing a  audience amphitheatre for film and theatrical events. the centre also displays for public view the original ""golden palm"" awarded to  at the  cannes film festival.n died on november , , due to complications of a stroke."
Anthony Asquith;"  (;  november  u  february ) was a leading english film director. he collaborated successfully with playwright terence rattigan on the winslow boy () and the browning version (), among other adaptations. his other notable films include pygmalion (), french without tears (), the way to the stars () and a  adaptation of oscar wilde's the importance of being earnest."
Anthony Chen;"  (simplified chinese: uufua; traditional chinese: uufudd) is a singaporean film director and film producer. he found success with his debut feature film, ilo ilo (), which won the prestigious camera d'or at the  cannes film festival. he also won the th golden horse award for best feature film and best new director."
Anthony Mann;  (june ,  u april , ) was an american actor and film director, most notably of films noir and westerns. as a director, he often collaborated with the cinematographer john alton and with actor james stewart in his westerns.nn
Anthony Russo;
Antoine Fuqua;  (born january , ) is an american film director and producer. initially active as a music video director, he has worked primarily in the action and thriller film subgenres, and is best known for his  academy award-winning film training day.
Anton Anton Corbijn;
Anton Corbijn;" johannes gerrit  van willenswaard (dutch pronunciation: [ucuntun jouducuunus ucuubruat kurucbubin vun uccubualunsucubaudrt]; born  may ) is a dutch photographer, music video director, and film director. he is the creative director behind the visual output of depeche mode and u, having handled the principal promotion and sleeve photography for both bands over three decades. some of his works include music videos for depeche mode's ""enjoy the silence"" (), u's ""one"" (version ) (), bryan adams' ""do i have to say the words?"", nirvana's ""heart-shaped box"" () and coldplay's ""talk"" () and ""viva la vida"" (), as well as the ian curtis biographical film control (), the american (), and a most wanted man (), based on john le carrue's  novel of the same name."
Anurag Kashyap;"  is an indian film director, writer, producer and actor, known for his work in hindi cinema. he is widely considered the face of india's new cinematic wave and has gained a strong cult following. for his contributions to film, the government of france awarded him the ordre des arts et des lettres (knight of the order of arts and letters) in .nafter writing a television serial,  got his major break as a co-writer in ram gopal varma's crime drama satya (), and made his directorial debut with paanch, which never had a theatrical release due to censorship issues. he then went on to direct black friday (), a film based on the book by hussain zaidi about the  bombay bombings. its release was held up for two years by the central board of film certification because of the pending verdict of the case at that time, but was released in  to widespread critical appreciation. 's followup, no smoking () met with negative reviews and performed poorly at the box-office. his next venture dev.d (), a modern adaptation of devdas was a critical and commercial success; followed by the political drama gulaal (), and the thriller that girl in yellow boots (). his prominence increased with the two-part crime drama, gangs of wasseypur (). his next films were bombay talkies (), ugly () and bombay velvet (). in ,  directed raman raghav ., a film based on the serial killer raman raghav.napart from filmmaking,  serves as the member of board of the mumbai-based ngo, aangan, which helps protect vulnerable children around india. he is the founder of two film production companies:   films, phantom films with partnership from directors vikramaditya motwane and vikas bahl and producer madhu mantena.nn"
Arch Oboler;"  (december ,  u m , ) was an american playwright, screenwriter, novelist, producer, and director who was active in radio, films, theater, and television. he generated much attention with his radio scripts, particularly the horror series lights out, and his work in radio remains the outstanding period of his career. praised as one of broadcasting's top talents, he is regarded today as a key innovator of radio drama. 's personality and ego were larger than life. radio historian john dunning wrote, ""few people were ambivalent when it came to  . he was one of those intense personalities who are liked and disliked with equal fire."""
Ari Folman;  (hebrew: udueud ueududcudeudf) (born december , ) is an israeli film director, screenwriter and film score composer. he is perhaps best known for directing his animated documentary film waltz with bashir as well as directing the live-action/animated film the congress. he currently plans to direct an animated drama film based on the life of anne frank during the holocaust.
Armand Gatti;"  (french: [gati]; january ,  u april , ) was a french playwright, poet, journalist, screenwriter, filmmaker and world war ii resistance fighter. his debut film enclosure was entered into the nd moscow international film festival where he won the silver prize for best director. two years later, his film el otro cristufbal was entered into the  cannes film festival.nin  he was awarded the grand prix du thueuetre de l'acaduemie franueaise."
Arnaud Desplechin;"  (french: [auno depleuubu]; born  october ) is a french film director and screenwriter.nn"
Arthur Penn; hiller  (september ,  u september , ) was an american director and producer of film, television and theater.  directed critically acclaimed films throughout the s such as the drama the chase (), the biographical crime film bonnie and clyde () and the comedy alice's restaurant (). he also got attention for his revisionist western little big man ().nby the mid-s his films were received with much less enthusiasm. in the s he returned to stage and television direction and production, including an executive producer role for the crime series law & order.
Asghar Farhadi;"  (persian: uuuau uuuuufuccueue; persian pronunciation: [uesuueue ub fueuehudiud]  pronunciation  born  may ) is an iranian film director and screenwriter. among other awards, he has received a golden globe award as well as two academy awards for best foreign language film for his movies a separation and the salesman in  and , respectively. he was named one of the  most influential people in the world by time magazine in ."
Atom Egoyan;" , cc (born july , ) is a canadian stage and film director, writer and producer.  made his career breakthrough with exotica (), a film set primarily in and around the fictional exotica strip club. 's most critically acclaimed film is the drama the sweet hereafter (), for which he received two academy award nominations, and his biggest commercial success is the erotic thriller chloe ().nhis work often explores themes of alienation and isolation, featuring characters whose interactions are mediated through technology, bureaucracy or other power structures. 's films often follow non-linear plot structures, in which events are placed out of sequence in order to elicit specific emotional reactions from the audience by withholding key information.nin ,  received the dan david prize for ""creative rendering of the past"".  later received the governor general's performing arts award, canada's highest royal honour in the performing arts, in .nhe was part of a loosely-affiliated group of filmmakers to emerge in the s from toronto known as the toronto new wave."
Banksy;" is an anonymous england-based graffiti artist, political activist and film director of unverified identity. their satirical street art and subversive epigrams combine dark humour with graffiti executed in a distinctive stenciling technique. 's works of political and social commentary have been featured on streets, walls, and bridges of cities throughout the world. 's work grew out of the bristol underground scene, which involved collaborations between artists and musicians.  says that they were inspired by d, a graffiti artist who later became a founding member of the english musical group massive attack.n displays their art on publicly visible surfaces such as walls and self-built physical prop pieces.  does not sell photographs or reproductions of their street graffiti, but art auctioneers have been known to attempt to sell the street art on location and leave the problem of its removal in the hands of the winning bidder.  created a documentary film, exit through the gift shop, billed as ""the world's first street art disaster movie"", which made its debut at the  sundance film festival. the film was released in the uk on  march . in january ,  was nominated for the academy award for best documentary for the film. in ,  was awarded person of the year at the  webby awards."
Barbet Schroeder;  (born  august ) is an iranian-born swiss film director and producer who started his career in french cinema in the s, working together with directors such as jean-luc godard and jacques rivette. since the late s he has directed many big budget hollywood films, often mixing melodrama with the thriller genre in films like single white female, kiss of death, and murder by numbers. he has been nominated for the academy award for best director, and for the palme d'or for his  film barfly.
Basil Dearden & co;"  (born  clive dear;  january  u  march ) was an english film director.nn"
Béla Tarr;"buela  (born  july ) is a hungarian film director. his body of work consists mainly of art films with philosophical themes and long takes.ndebuting with the film family nest (),  began his directorial career with a brief period of what he refers to as ""social cinema"", aimed at telling mundane stories about ordinary people, often in the style of cinema vueritue. over the next decade, the cinematic style and thematic elements of his films changed.  has been interpreted as having a pessimistic view of humanity; the characters in his works are often cynical, and have tumultuous relationships with one another in ways critics have found to be darkly comic. almanac of fall (), his only color film, follows the inhabitants of a run-down apartment as they struggle to live together while sharing their hostilities. the drama damnation () was lauded for its languid and controlled camera movement, which  would become known for internationally. satan's tango () and werckmeister harmonies () continued his bleak and desolate representations of reality, while incorporating apocalyptic overtones; the former sometimes appears in scholarly polls of the greatest films ever made, and the latter received wide acclaim from critics.  would later compete in the  cannes film festival with his film the man from london, which opened to moderately positive reviews.nfrequent collaborators with  include novelist lueszluf krasznahorkai, film composer mihuely vuedg, cinematographer fred kelemen, actress erika bufk, and 's wife ucgnes hranitzky, who is sometimes credited as a co-director of his last three works. after the release of his film the turin horse (), which made many year-end ""best-of"" critics' lists,  announced his definitive retirement from feature-length film direction. in february  he started a film school in sarajevo, known as film.factory, leaving in . he is slated to premiere two short films in a  amsterdam exhibition.nn"
Ben Stiller;"jamin edward meara  (born november , ) is an american actor, comedian and filmmaker. he is the son of veteran comedians and actors jerry  and anne meara.nafter beginning his acting career with a play,  wrote several mockumentaries, and was offered his own show entitled the   show, which he produced and hosted for its -episode run. having previously acted in television, he began acting in films; he made his directorial debut with reality bites. throughout his career he has written, starred in, directed, or produced more than  films, including the secret life of walter mitty, zoolander, the cable guy, there's something about mary, the meet the parents trilogy, dodgeball, tropic thunder, the madagascar series, and the night at the museum trilogy. in addition, he has had multiple cameos in music videos, television shows, and films.n is a member of a group of comedic actors colloquially known as the frat pack. his films have grossed more than $. billion in canada and the united states, with an average of $ million per film. throughout his career, he has received multiple awards and honors, including an emmy award, multiple mtv movie awards and a teen choice award.nn"
Benjamin Christensen;  ( september  u  april ) was a danish film director, screenwriter and an actor both in film and on the stage. as a director he is most well known for the  film huexan and as an actor, he is best known for his performance in the film michael (), in which he plays claude zoret, the jilted lover of the film's title character.
Bennett Miller;  (born december , ) is an american film director, known for directing the acclaimed films capote (), moneyball (), and foxcatcher (). he has been nominated twice for the academy award for best director.
Bernardo Bertolucci;"  (italian: [berucnardo bertoucluttui]; born  march ) is an italian director and screenwriter, whose films include the conformist, last tango in paris, , the last emperor, the sheltering sky, stealing beauty and the dreamers. in recognition of his work, he was presented with the inaugural honorary palme d'or award at the opening ceremony of the  cannes film festival. since , he has been married to screenwriter clare peploe."
Bertrand Bonello;"  (french: [bunublo]; born  september ) is a french film director, screenwriter, producer and composer. his background is in classical music, and he lives between paris and montreal. his work has also been associated with the new french extremity.nhis film the pornographer () won the fipresci prize at the  cannes film festival. tiresia () was nominated for the palme d'or at the  cannes film festival.nhis film house of tolerance, a depiction of daily life in a fin-de-siuecle parisian bordello, premiered in competition at the  cannes film festival.nhis  film saint laurent competed for the palme d'or in the main competition section at the  cannes film festival. the film was also selected as france's submission for the academy award for best foreign language film at the th academy awards.nn"
Bertrand Tavernier;  (born  april ) is a french director, screenwriter, actor and producer.
Bill Mason;"  was a canadian naturalist, author, artist, filmmaker, and conservationist, noted primarily for his popular canoeing books, films, and art as well as his documentaries on wolves.  was also known for including passages from christian sermons in his films. he was born in  in winnipeg, manitoba, and graduated from the university of manitoba school of art in . he developed and refined canoeing strokes and river-running techniques, especially for complex whitewater situations.  canoed all of his adult life, ranging widely over the wilderness areas of canada and the united states. termed a ""wilderness artist,""  left a legacy that includes books, films, and artwork on canoeing and nature. his daughter becky  is a canoeist and artist. his son paul  is also a canoeist and artist.  died of cancer in ."
Billy Wilder;"samuel """"  (; german: [ucvualdu]; june ,  u march , ) was a polish-born (galicia under austrian rule) jewish-american filmmaker, screenwriter, producer, artist, and journalist whose career spanned more than five decades. he is regarded as one of the most brilliant and versatile filmmakers of hollywood's golden age. with the apartment,  became the first person to win academy awards as producer, director, and screenwriter for the same film.n became a screenwriter in the late s while living in berlin. after the rise of the nazi party, he left for paris, where he made his directorial debut. he moved to hollywood in , and in  he had a hit when he co-wrote the screenplay for the romantic comedy ninotchka, starring greta garbo.  established his directorial reputation with an adaption of james m. cain's double indemnity (), a film noir.  co-wrote the screenplay with crime novelist raymond chandler.  earned the best director and best screenplay academy awards for the adaptation of a charles r. jackson story the lost weekend (), about alcoholism. in ,  co-wrote and directed the critically acclaimed sunset boulevard, as well as stalag  in .nfrom the mid-s on,  made mostly comedies. among the classics  created in this period are the farces the seven year itch () and some like it hot (), and satires such as the apartment (). he directed fourteen different actors in oscar-nominated performances.  was recognized with the american film institute (afi) life achievement award in . in ,  was awarded the irving g. thalberg memorial award. in , he was awarded the national medal of arts."
Brad Anderson;
Brian de Palma; russell   (born september , ) is an american film director and screenwriter. he is consired part of the new hollywood wave of filmmaking.nin a career spanning over  years, he is best known for his suspense, psychological thriller, and crime films. he directed successful and popular films such as the supernatural horror carrie, the erotic crime thriller dressed to kill, the thriller blow out, the crime dramas scarface, the untouchables, and carlito's way, and the action spy film mission: impossible.
